Line,Route
U1,"Olympia-Einkaufszentrum, Westfriedhof, Hauptbahnhof, Sendlinger Tor, Kolumbusplatz, Mangfallplatz"
U2,"Feldmoching, Harthof, Scheidplatz, Hauptbahnhof, Sendlinger Tor, Kolumbusplatz, Giesing, Innsbrucker Ring, Trudering, Messestadt Ost"
U3,"Moosach, Olympia-Einkaufszentrum, Olympiazentrum, Scheidplatz, Muenchner Freiheit, Odeonsplatz, Marienplatz, Sendlinger Tor, Implerstrasse, Obersendling, Fuerstenried West"
U4,"Westendstrasse, Heimeranplatz, Hauptbahnhof, Karlsplatz, Odeonsplatz, Lehel, Max-Weber-Platz, Arabellapark"
U5,"Laimer Platz, Westendstrasse, Hauptbahnhof, Karlsplatz, Odeonsplatz, Max-Weber-Platz, Ostbahnhof, Innsbrucker Ring, Neuperlach Sued"
U6,"Garching-Forschungszentrum, Froettmaning, Freimann, Studentenstadt, Muenchner Freiheit, Odeonsplatz, Marienplatz, Sendlinger Tor, Implerstrasse, Harras, Klinikum Grosshadern"
U7,"Olympia-Einkaufszentrum, Westfriedhof, Rotkreuzplatz, Hauptbahnhof, Sendlinger Tor, Kolumbusplatz, Giesing, Innsbrucker Ring, Neuperlach Zentrum"
U8,"Olympiazentrum, Scheidplatz, Hauptbahnhof, Sendlinger Tor, Kolumbusplatz, Giesing, Innsbrucker Ring, Neuperlach Zentrum"
